Date,Close/Last,Volume,Open,High,Low
02/28/2025,$292.98,115697000,$279.50,$293.88,$273.60
02/27/2025,$281.95,101748200,$291.16,$297.23,$280.88
02/26/2025,$290.80,100118300,$303.715,$309.00,$288.04
02/25/2025,$302.80,134228800,$327.025,$328.89,$297.2512
02/24/2025,$330.53,76052320,$338.14,$342.3973,$324.70
02/21/2025,$337.80,74058650,$353.44,$354.98,$334.42
02/20/2025,$354.40,45965350,$361.51,$362.30,$348.00
02/19/2025,$360.56,67094370,$354.00,$367.34,$353.67
02/18/2025,$354.11,51631700,$355.01,$359.10,$350.02
02/14/2025,$355.84,68277280,$360.62,$362.00,$347.50
02/13/2025,$355.94,89441520,$345.00,$358.69,$342.85
02/12/2025,$336.51,105382700,$329.94,$346.40,$329.12
02/11/2025,$328.50,118543400,$345.80,$349.37,$325.10
02/10/2025,$350.73,77514900,$356.21,$362.70,$350.51
02/07/2025,$361.62,70298260,$370.19,$380.5459,$360.34
02/06/2025,$374.32,77918230,$373.03,$375.40,$363.18
02/05/2025,$378.17,57614720,$387.51,$388.39,$375.53
02/04/2025,$392.21,57072240,$382.63,$394.00,$381.40
02/03/2025,$383.68,93732120,$386.68,$389.17,$374.36
01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
01/29/2025,$389.10,68033650,$395.21,$398.5899,$384.48
01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
01/15/2025,$428.22,81375460,$409.90,$429.80,$405.661
01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
